Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,187.000000,189.500000,187.000000,187.600006,187.600006,74549578
2019-11-27,190.000000,195.300003,189.300003,193.199997,193.199997,53617241
2019-11-28,197.000000,204.199997,196.899994,204.000000,204.000000,41816834
2019-11-29,204.000000,204.800003,197.500000,198.399994,198.399994,36509531
2019-12-02,198.000000,198.899994,194.000000,195.500000,195.500000,26592325
2019-12-03,191.699997,194.199997,190.399994,192.600006,192.600006,19911922
2019-12-04,190.000000,191.600006,188.500000,189.000000,189.000000,19276308
2019-12-05,191.399994,193.800003,190.899994,192.399994,192.399994,17932572
2019-12-06,196.100006,198.100006,195.399994,197.500000,197.500000,19205791
2019-12-09,197.000000,198.300003,196.000000,196.600006,196.600006,8558132
2019-12-10,195.000000,196.500000,193.699997,195.399994,195.399994,6639899
2019-12-11,196.199997,198.399994,195.399994,197.600006,197.600006,6534411
2019-12-12,199.600006,201.199997,199.600006,200.199997,200.199997,8825275
2019-12-13,202.800003,203.000000,199.399994,202.000000,202.000000,18576570
2019-12-16,201.600006,202.800003,200.000000,201.000000,201.000000,6616578
2019-12-17,203.199997,205.800003,202.199997,203.800003,203.800003,11225195
2019-12-18,203.800003,203.800003,201.600006,202.600006,202.600006,8179646
2019-12-19,204.000000,205.399994,202.600006,204.800003,204.800003,7525360
2019-12-20,205.000000,208.399994,204.800003,207.000000,207.000000,16804751
2019-12-23,209.000000,210.199997,207.800003,208.399994,208.399994,9892858
2019-12-24,209.800003,211.000000,209.000000,210.399994,210.399994,7770434
2019-12-27,211.000000,213.600006,210.800003,212.800003,212.800003,10774808
2019-12-30,211.000000,212.000000,210.399994,210.600006,210.600006,9970904
2019-12-31,207.800003,208.199997,206.199997,207.199997,207.199997,8813067
2020-01-02,208.000000,211.000000,208.000000,210.000000,210.000000,9516678
2020-01-03,215.000000,215.000000,211.199997,212.000000,212.000000,11307103
2020-01-06,211.000000,211.800003,209.199997,211.000000,211.000000,11303411
2020-01-07,211.800003,214.000000,211.600006,212.600006,212.600006,11676599
2020-01-08,210.000000,211.600006,207.800003,210.800003,210.800003,15095573
2020-01-09,214.000000,215.800003,213.199997,215.600006,215.600006,12261435
2020-01-10,216.600006,219.000000,216.399994,218.000000,218.000000,11860220
2020-01-13,219.800003,224.600006,219.600006,222.800003,222.800003,17692255
2020-01-14,225.000000,227.399994,222.800003,223.600006,223.600006,16784465
2020-01-15,220.199997,221.600006,218.199997,220.800003,220.800003,21735164
2020-01-16,219.399994,220.600006,218.600006,219.399994,219.399994,12993720
2020-01-17,218.800003,221.199997,216.199997,220.399994,220.399994,21245436
2020-01-20,221.000000,222.800003,220.199997,220.199997,220.199997,11229916
2020-01-21,218.000000,219.000000,214.600006,215.800003,215.800003,20241728
2020-01-22,215.800003,219.800003,212.399994,218.399994,218.399994,14632484
2020-01-23,216.000000,216.800003,212.199997,213.399994,213.399994,16013394
2020-01-24,213.399994,215.399994,211.800003,214.600006,214.600006,7583855
2020-01-29,205.800003,209.600006,205.600006,207.399994,207.399994,24946947
2020-01-30,207.199997,207.199997,199.800003,201.800003,201.800003,26416987
2020-01-31,204.800003,204.800003,199.600006,200.399994,200.399994,18257747
2020-02-03,201.199997,206.000000,200.000000,205.000000,205.000000,23784275
2020-02-04,208.399994,214.800003,207.199997,213.199997,213.199997,25035681
2020-02-05,215.600006,218.600006,214.000000,215.600006,215.600006,23975014
2020-02-06,215.199997,219.199997,213.800003,217.399994,217.399994,18777127
2020-02-07,215.000000,216.199997,214.199997,215.399994,215.399994,14223318
2020-02-10,211.199997,214.800003,211.199997,212.600006,212.600006,23432236
2020-02-11,211.800003,213.600006,207.199997,212.199997,212.199997,29376694
2020-02-12,212.000000,215.800003,210.199997,215.000000,215.000000,24402441
2020-02-13,217.399994,218.000000,215.000000,217.199997,217.199997,20547490
2020-02-14,214.399994,217.000000,213.800003,215.000000,215.000000,15926098
2020-02-17,214.399994,217.800003,213.399994,217.399994,217.399994,15531105
2020-02-18,215.800003,216.000000,213.399994,214.000000,214.000000,13177196
2020-02-19,214.600006,216.800003,214.000000,214.000000,214.000000,10179246
2020-02-20,216.800003,216.800003,213.800003,215.600006,215.600006,12728604
2020-02-21,213.000000,214.000000,212.000000,212.600006,212.600006,15106823
2020-02-24,206.399994,207.600006,205.000000,205.199997,205.199997,30852998
2020-02-25,203.399994,207.399994,203.000000,206.600006,206.600006,23465654
2020-02-26,201.800003,204.399994,201.000000,203.000000,203.000000,29014994
2020-02-27,203.000000,205.600006,201.399994,205.199997,205.199997,23397941
2020-02-28,200.600006,202.000000,199.500000,200.000000,200.000000,38816951
2020-03-02,201.199997,205.000000,200.600006,204.600006,204.600006,17004513
2020-03-03,206.199997,206.600006,202.399994,203.199997,203.199997,19156355
2020-03-04,203.000000,203.199997,200.600006,202.199997,202.199997,14553445
2020-03-05,205.199997,208.199997,204.000000,207.199997,207.199997,19343293
2020-03-06,205.000000,205.199997,202.800003,203.800003,203.800003,12734463
2020-03-09,193.500000,198.500000,193.500000,193.500000,193.500000,56936906
2020-03-10,197.000000,201.000000,193.600006,199.300003,199.300003,28569375
2020-03-11,200.000000,200.399994,196.699997,197.000000,197.000000,17860192
2020-03-12,192.000000,192.199997,187.199997,188.800003,188.800003,41842108
2020-03-13,178.800003,194.000000,177.000000,191.699997,191.699997,53292364
2020-03-16,185.000000,185.100006,178.000000,179.300003,179.300003,47207430
2020-03-17,182.000000,185.899994,175.000000,183.199997,183.199997,36872240
2020-03-18,177.800003,181.800003,172.800003,173.000000,173.000000,58603973
2020-03-19,176.100006,176.500000,167.600006,174.000000,174.000000,34599488
2020-03-20,177.000000,183.000000,177.000000,183.000000,183.000000,27899247
2020-03-23,172.500000,176.899994,170.000000,170.000000,170.000000,37535058
2020-03-24,173.699997,175.000000,170.199997,174.500000,174.500000,26729551
2020-03-25,181.000000,181.699997,177.800003,179.699997,179.699997,28012053
2020-03-26,181.000000,182.399994,178.300003,180.899994,180.899994,17816738
2020-03-27,186.000000,186.000000,182.899994,183.899994,183.899994,23922455
2020-03-30,180.199997,182.100006,177.500000,180.300003,180.300003,18129547
2020-03-31,185.199997,185.699997,182.699997,183.399994,183.399994,13598127
2020-04-01,185.399994,187.399994,181.100006,184.000000,184.000000,22814764
2020-04-02,183.199997,186.500000,182.199997,186.000000,186.000000,12304930
2020-04-03,183.500000,184.899994,182.600006,183.699997,183.699997,9290512
2020-04-06,186.000000,189.699997,185.199997,188.600006,188.600006,18253609
2020-04-07,191.500000,191.699997,188.500000,191.500000,191.500000,16381930
2020-04-08,189.399994,191.500000,189.000000,190.100006,190.100006,9180063
2020-04-09,191.300003,191.899994,189.300003,191.699997,191.699997,13161858
2020-04-14,194.000000,198.000000,194.000000,197.000000,197.000000,18233007
2020-04-15,199.000000,201.199997,196.800003,197.899994,197.899994,20722474
2020-04-16,200.000000,202.800003,199.899994,202.800003,202.800003,19818106
2020-04-17,210.000000,211.800003,206.199997,207.600006,207.600006,33397811
2020-04-20,205.399994,207.600006,203.399994,205.800003,205.800003,22875450
2020-04-21,207.000000,207.800003,200.600006,204.199997,204.199997,17778769
2020-04-22,201.000000,206.600006,200.600006,205.600006,205.600006,12962733
2020-04-23,204.399994,205.199997,202.399994,204.399994,204.399994,16359183
2020-04-24,198.600006,200.600006,197.300003,198.000000,198.000000,23966198
2020-04-27,198.500000,202.399994,198.500000,200.600006,200.600006,13936896
2020-04-28,198.000000,199.199997,196.300003,199.000000,199.000000,19944823
2020-04-29,196.500000,197.899994,196.500000,197.000000,197.000000,14850119
2020-05-04,189.800003,189.899994,188.199997,189.699997,189.699997,26903568
2020-05-05,187.699997,189.199997,186.899994,188.500000,188.500000,27110375
2020-05-06,189.899994,195.600006,189.500000,193.600006,193.600006,23022901
2020-05-07,189.899994,190.899994,189.500000,190.500000,190.500000,20506910
2020-05-08,192.500000,194.800003,191.600006,193.399994,193.399994,17851592
2020-05-11,196.899994,199.500000,196.500000,198.699997,198.699997,19839300
2020-05-12,198.899994,199.699997,197.199997,199.699997,199.699997,14037259
2020-05-13,195.500000,197.399994,194.300003,196.300003,196.300003,26074457
2020-05-14,194.500000,195.899994,194.100006,194.500000,194.500000,19248894
2020-05-15,195.000000,197.100006,194.100006,196.899994,196.899994,16672799
2020-05-18,198.300003,203.000000,197.399994,203.000000,203.000000,26818890
2020-05-19,210.000000,211.800003,205.600006,209.800003,209.800003,45308325
2020-05-20,211.000000,211.600006,208.600006,211.000000,211.000000,22533385
2020-05-21,209.399994,209.600006,205.600006,206.199997,206.199997,23271613
2020-05-22,205.000000,205.000000,196.000000,198.199997,198.199997,40226609
2020-05-25,193.699997,199.600006,190.300003,198.199997,198.199997,40103124
2020-05-26,200.000000,203.199997,200.000000,201.000000,201.000000,26834881
2020-05-27,198.899994,199.600006,196.100006,197.300003,197.300003,33136407
2020-05-28,195.399994,196.500000,191.500000,193.500000,193.500000,30919109
2020-05-29,193.000000,196.300003,192.000000,194.300003,194.300003,19459191
2020-06-01,200.000000,204.000000,200.000000,202.800003,202.800003,26826195
2020-06-02,201.600006,201.800003,199.500000,200.000000,200.000000,22818103
2020-06-03,208.000000,209.800003,206.800003,209.600006,209.600006,38794267
2020-06-04,213.000000,213.000000,207.399994,211.000000,211.000000,22860283
2020-06-05,212.000000,213.600006,209.399994,212.199997,212.199997,22415326
2020-06-08,214.600006,214.600006,210.800003,212.399994,212.399994,17992461
